"Ägypten	";"Kairo"
"Äquatorialguinea	";"Malabo	"
"Äthiopien	";"Addis Abeba	"
"Afghanistan	";"Kabul"
"Albanien	";"Tirana	"
"Algerien	";"Algier	"
"Andorra	";"Andorra la Vella	"
"Angola	";"Luanda	"
"Antigua und Barbuda	";"Saint John’s	"
"Argentinien	";"Buenos Aires	"
"Armenien	";"Jerewan	"
"Aserbaidschan	";"Baku	"
"Australien	";"Canberra	"
"Bahamas	";"Nassau	"
"Bahrain	";"Manama	"
"Bangladesch	";"Dhaka	"
"Barbados	";"Bridgetown	"
"Belgien	";"Brüssel	"
"Belize	";"Belmopan	"
"Benin	";"Porto-Novo	"
"Bhutan	";"Thimphu	"
"Bolivien	";"Sucre	"
"Bosnien und Herzegowina";"Sarajevo	"
"Botswana	";"Gaborone	"
"Brasilien	";"Brasília	"
"Brunei	";"Bandar Seri Begawan	"
"Bulgarien	";"Sofia	"
"Burkina Faso	";"Ouagadougou	"
"Burundi	";"Gitega	"
"Chile	";"Santiago de Chile	"
"China";"Peking	"
"Costa Rica	";"San José	"
"Dänemark";"Kopenhagen	"
"Deutschland	";"Berlin	"
"Dominica	";"Roseau	"
"Dominikanische Republik";"Santo Domingo	"
"Dschibuti	";"Dschibuti-Stadt	"
"Ecuador	";"Quito	"
"El Salvador	";"San Salvador	"
"Elfenbeinküste	";"Yamoussoukro	"
"Eritrea	";"Asmara	"
"Estland	";"Tallinn	"
"Fidschi	";"Suva	"
"Finnland	";"Helsinki	"
"Frankreich
";"Paris	"
"Gabun	";"Libreville	"
"Gambia	";"Banjul	"
"Georgien
";"Tiflis	"
"Ghana	";"Accra	"
"Grenada	";"St. George’s	"
"Griechenland	";"Athen	"
"Guatemala	";"Guatemala-Stadt	"
"Guinea	";"Conakry	"
"Guinea-Bissau";"Bissau"
"Guyana";"Georgetown"
"Haiti";"Port-au-Prince"
"Honduras";"Tegucigalpa"
"Indien";"Neu-Delhi"
"Indonesien";"Jakarta	"
"Irak	";"Bagdad	"
"Iran	";"Teheran	"
"Irland	";"Dublin	"
"Island	";"Reykjavík	"
"Israel
";"Jerusalem	"
"Italien	";"Rom	"
"Jamaika	";"Kingston	"
"Japan	";"Tokio	"
"Jemen	";"Sanaa
"
"Jordanien	";"Amman	"
"Kambodscha	";"Phnom Penh	"
"Kamerun	";"Yaoundé	"
"Kanada	";"Ottawa	"
"Kap Verde	";"Praia	"
"Kasachstan	";"Nursultan	"
"Katar	";"Doha	"
"Kenia	";"Nairobi	"
"Kirgisistan	";"Bischkek	"
"Kiribati	";"South Tarawa	"
"Kolumbien	";"Bogotá	"
"Komoren	";"Moroni	"
"Kongo";"Brazzaville	"
"Kongo, Demokratische Republik	";"Kinshasa	"
"Kosovo	";"Pristina	"
"Kroatien	";"Zagreb
"
"Kuba	";"Havanna	"
"Kuwait	";"Kuwait-Stadt	"
"Laos	";"Vientiane	"
"Lesotho	";"Maseru	"
"Lettland	";"Riga	"
"Libanon	";"Beirut	"
"Liberia	";"Monrovia	"
"Libyen	";"Tripolis	"
"Liechtenstein	";"Vaduz	"
"Litauen	";"Vilnius
"
"Luxemburg	";"Luxemburg	"
"Madagaskar	";"Antananarivo	"
"Malawi	";"Lilongwe	"
"Malaysia	";"Kuala Lumpur	"
"Malediven	";"Malé	"
"Mali	";"Bamako	"
"Malta	";"Valletta	"
"Marokko
";"Rabat	"
"Marshallinseln	";"Majuro	"
"Mauretanien	";"Nouakchott	"
"Mauritius	";"Port Louis	"
"Mexiko	";"Mexiko-Stadt	"
"Mikronesien	";"Palikir	"
"Moldau
";"Chi?in?u	"
"Monaco	";"Monaco	"
"Mongolei	";"Ulaanbaatar	"
"Montenegro	";"Podgorica	"
"Mosambik	";"Maputo	"
"Myanmar	";"Naypyidaw	"
"Namibia	";"Windhoek	"
"Nauru	";"Yaren	"
"Nepal	";"Kathmandu	"
"Neuseeland	";"Wellington	"
"Nicaragua	";"Managua	"
"Niederlande
";"Amsterdam	"
"Niger	";"Niamey	"
"Nigeria	";"Abuja	"
"Nordkorea";"Pjöngjang	"
"Nordmazedonien	";"Skopje	"
"Norwegen
";"Oslo	"
"Österreich	";"Wien	"
"Oman	";"Maskat	"
"Osttimor ";"Dili	"
"Pakistan
";"Islamabad	"
"Palau	";"Ngerulmud	"
"Panama	";"Panama-Stadt	"
"Papua-Neuguinea	";"Port Moresby	"
"Paraguay	";"Asunción	"
"Peru	";"Lima	"
"Philippinen	";"Manila	"
"Polen	";"Warschau	"
"Portugal	";"Lissabon	"
"Ruanda	";"Kigali	"
"Rumänien	";"Bukarest	"
"Russland
";"Moskau	"
"Salomonen	";"Honiara	"
"Sambia	";"Lusaka	"
"Samoa	";"Apia	"
"San Marino	";"San Marino	"
"São Tomé und Príncipe	";"São Tomé	"
"Saudi-Arabien	";"Riad	"
"Schweden	";"Stockholm	"
"Schweiz	";"Bern"
"Senegal	";"Dakar	"
"Serbien
";"Belgrad	"
"Seychellen	";"Victoria	"
"Sierra Leone	";"Freetown	"
"Simbabwe	";"Harare	"
"Singapur	";"Singapur	"
"Slowakei	";"Bratislava
"
"Slowenien	";"Ljubljana
"
"Somalia
";"Mogadischu	"
"Spanien	";"Madrid	"
"Sri Lanka	";"Sri Jayewardenepura"
"St. Kitts und Nevis";"Basseterre	"
"St. Lucia	";"Castries	"
"St. Vincent und die Grenadinen	";"Kingstown	"
"Sudan	";"Khartum	"
"Südafrika	";"Pretoria	"
"Südkorea";"Seoul	"
"Südsudan	";"Juba	"
"Suriname	";"Paramaribo	"
"Swasiland	";"Mbabane	"
"Syrien
";"Damaskus	"
"Tadschikistan	";"Duschanbe	"
"Tansania	";"Dodoma	"
"Thailand	";"Bangkok	"
"Togo	";"Lomé	"
"Tonga	";"Nuku?alofa	"
"Trinidad und Tobago	";"Port of Spain	"
"Tschad	";"N’Djamena	"
"Tschechien	";"Prag	"
"Türkei	";"Ankara	"
"Tunesien	";"Tunis	"
"Turkmenistan	";"Aschgabad	"
"Tuvalu	";"Funafuti	"
"Uganda	";"Kampala	"
"Ukraine
";"Kiew	"
"Ungarn	";"Budapest	"
"Uruguay	";"Montevideo	"
"Usbekistan	";"Taschkent	"
"Vanuatu	";"Port Vila	"
"Vatikanstadt	";"Vatikanstadt	"
"Venezuela	";"Caracas	"
"Vereinigte Arabische Emirate	";"Abu Dhabi	"
"Vereinigte Staaten
";"Washington, D.C.	"
"Vereinigtes Königreich
";"London	"
"Vietnam	";"Hanoi	"
"Weißrussland	";"Minsk	"
"Zentral­afrikanische Republik	";"Bangui	"
"Zypern
";"Nikosia	"
